Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
02/01/2014	280	280	285	280	5342375	11	2600	19700	18875	609.43
03/01/2014	280	280	285	280	6381875	22	5300	67100	22575	609.43
06/01/2014	285	285	285	280	918635980	45	105300	42000	3223291	620.31
07/01/2014	285	285	285	285	103078800	17	106600	42000	361680	620.31
08/01/2014	285	280	285	280	720843805	33	104100	82200	2529314	609.43
09/01/2014	285	280	285	280	1448202170	34	169200	50900	5082548	609.43
10/01/2014	285	285	285	280	169905860	15	72000	-	596162	620.31
15/01/2014	290	290	290	280	14509515	24	60700	14800	50470	631.19
16/01/2014	290	290	290	285	257273475	47	42000	413500	888535	631.19
17/01/2014	290	290	295	290	82527920	22	570400	407900	284548	631.19
20/01/2014	295	295	295	290	5181570	11	871200	409600	17883	642.08
21/01/2014	295	295	300	295	17527890	23	466000	599300	59242	642.08
22/01/2014	295	295	295	290	142127600	38	236900	1700	481790	642.08
23/01/2014	295	295	295	295	17767850	7	652500	398800	60230	642.08
24/01/2014	300	300	300	295	96790360	34	709600	102800	322774	652.96
27/01/2014	300	300	300	285	88322925	57	634500	102800	294412	652.96
28/01/2014	300	300	300	300	906000	10	699700	118300	3020	652.96
29/01/2014	300	300	300	300	6058500	19	187100	15500	20195	652.96
30/01/2014	300	300	300	300	23302300	25	174200	115300	77661	652.96
31/01/2014	320	320	320	320	40736000	9	682400	13000	127300	696.49
03/02/2014	320	300	320	300	54305680	30	556800	157600	172975	652.96
04/02/2014	295	295	300	295	16468400	22	539500	155800	54903	642.08
05/02/2014	300	300	300	300	39513000	45	523400	88100	131710	652.96
06/02/2014	300	300	300	300	20478600	29	34900	124900	68262	652.96
07/02/2014	300	300	300	300	297780000	20	535100	42200	992600	652.96
10/02/2014	300	300	300	300	6075000	6	535000	30300	20250	652.96
11/02/2014	300	300	325	300	25906100	42	652200	10800	86312	652.96
12/02/2014	300	300	300	300	18043800	21	631900	10800	60146	652.96
13/02/2014	300	300	300	300	4500000	4	134600	600	15000	652.96
14/02/2014	300	300	320	300	10695000	21	823400	19600	35590	652.96
17/02/2014	300	300	300	300	3604500	13	799000	23400	12015	652.96
18/02/2014	305	305	305	305	688867500	14	809000	23400	2295400	663.84
19/02/2014	310	310	310	305	21799720	18	1064800	14600	70322	674.72
20/02/2014	320	320	320	320	36361280	18	448200	14300	113629	696.49
21/02/2014	320	315	320	305	20057635	23	504300	10800	63369	685.61
24/02/2014	320	320	320	320	1368000	10	965100	22200	4275	696.49
25/02/2014	320	320	320	320	13120000	14	931700	22200	41000	696.49
26/02/2014	320	320	325	320	14609375	20	344300	11400	45125	696.49
27/02/2014	330	325	330	325	98875220	34	178800	357100	303475	707.37
28/02/2014	330	320	330	320	61624500	48	28400	1320200	189100	696.49
03/03/2014	325	325	325	320	2258605275	24	51000	1012600	7058127	707.37
04/03/2014	325	325	325	325	5303000	7	39800	1010800	16500	707.37
05/03/2014	320	320	325	320	659596700	33	68000	806800	2061236	696.49
06/03/2014	320	320	325	320	30091875	15	69200	86200	93935	696.49
07/03/2014	320	320	325	320	16219275	13	136900	136500	50567	696.49
10/03/2014	320	320	325	320	2600309750	23	108600	684700	7882210	696.49
11/03/2014	320	320	325	320	48811900	27	3100	681400	152532	696.49
12/03/2014	320	320	325	320	51668150	15	3400	825600	161462	696.49
13/03/2014	320	320	325	320	9787100	17	2700	876900	30605	685.61
14/03/2014	320	315	325	315	15066900	15	3400	432900	47770	685.61
17/03/2014	315	315	325	315	3811500	3	15400	448400	12100	685.61
18/03/2014	315	310	325	310	11121715	31	20500	1051300	35632	674.72
19/03/2014	310	300	325	300	7926270	27	1800	1669600	26218	652.96
20/03/2014	310	300	325	300	4870760	17	1800	1669600	16218	652.96
21/03/2014	300	310	310	300	38161500	15	3900	1598100	124100	674.72
24/03/2014	310	310	315	310	1763405	7	3900	1576600	5687	674.72
26/03/2014	310	300	310	300	92978110	39	156600	343700	309881	652.96
27/03/2014	300	300	300	300	13615595	29	185800	450300	45415	642.08
28/03/2014	295	295	295	295	29824500	5	185800	450300	101100	642.08
31/03/2014	295	295	300	295	11623500	5	221100	226100	39400	642.08
01/04/2014	0	0	0	0	0	0	317900	298100	0	642.08
02/04/2014	300	295	300	295	1844375	5	290900	331800	6225	642.08
03/04/2014	300	300	300	300	7470000	11	256000	332400	24900	652.96
04/04/2014	300	300	300	300	139758600	23	663700	332400	465862	652.96
08/04/2014	300	310	320	300	40753300	17	522700	625600	132590	674.72
09/04/2014	305	305	310	300	76685510	33	531900	1570600	251531	663.84
10/04/2014	300	300	305	300	162212500	37	270100	1678400	540700	652.96
11/04/2014	300	310	310	300	642372160	29	311100	1308000	2083199	674.72
14/04/2014	300	310	315	300	4334500	10	193200	888400	14250	674.72
15/04/2014	300	300	310	300	25410800	21	187500	744400	83680	652.96
16/04/2014	310	310	310	305	59608130	26	242100	616800	192523	674.72
