Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
02/01/2014	2620	2620	2640	2620	14998400	9	44300	30700	5720	1310
03/01/2014	2640	2640	2640	2640	3168000	2	49400	64100	1200	1320
06/01/2014	2640	2640	2640	2620	13859000	9	44600	64100	5250	1320
07/01/2014	2640	2640	2640	2620	11068000	10	41900	67200	4200	1320
08/01/2014	2640	2640	2640	2640	5016000	6	44400	35700	1900	1320
09/01/2014	2640	2640	2660	2640	9743400	12	46500	29700	3690	1320
10/01/2014	2620	2620	2660	2620	10290600	9	42900	64900	3910	1310
15/01/2014	2640	2640	2660	2640	86431800	43	41600	103600	32739	1320
16/01/2014	2640	2640	2640	2640	240683520	16	54800	66100	91168	1320
17/01/2014	2640	2640	2660	2640	16060880	9	100900	66400	6042	1320
20/01/2014	2640	2640	2660	2640	730400	5	100800	32000	276	1320
21/01/2014	2660	2660	2660	2640	79882560	12	93600	36400	30116	1330
22/01/2014	2660	2660	2660	2640	20190300	12	19600	66800	7591	1330
23/01/2014	2660	2660	2660	2640	13277240	13	22400	66100	5014	1330
24/01/2014	2660	2660	2660	2660	31122000	15	32600	66100	11700	1330
27/01/2014	2660	2660	2660	2660	52375400	21	16700	31900	19690	1330
28/01/2014	2660	2660	2660	2660	532000	2	25700	36400	200	1330
29/01/2014	2660	2660	2660	2660	25025280	5	23100	66100	9408	1330
30/01/2014	2660	2660	2660	2660	42028000	6	27800	66100	15800	1330
31/01/2014	2660	2660	2660	2660	11438000	7	22100	64100	4300	1330
03/02/2014	2660	2660	2660	2660	26256860	9	12800	33700	9871	1330
04/02/2014	2660	2660	2660	2660	14105980	9	25200	4000	5303	1330
05/02/2014	2660	2660	2660	2660	24235260	7	13000	68100	9111	1330
06/02/2014	2660	2660	2660	2660	24349640	9	23800	69800	9154	1330
07/02/2014	2660	2660	2660	2660	60778340	12	22600	66100	22849	1330
10/02/2014	2660	2660	2660	2660	11823700	12	29000	66100	4445	1330
11/02/2014	2660	2660	2660	2660	17234140	5	20300	2000	6479	1330
12/02/2014	2660	2660	2660	2660	2660000	3	16500	2000	1000	1330
13/02/2014	2660	2660	2660	2660	952280	4	21200	64100	358	1330
14/02/2014	2660	2660	2660	2660	17260740	9	31100	64100	6489	1330
