Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
02/01/2014	2680	2680	2680	2680	14782880	6	0	26500	5516	96.48
03/01/2014	2680	2680	2680	2680	14589920	6	0	21100	5444	96.48
06/01/2014	0	0	0	0	0	0	0	23100	0	96.48
07/01/2014	2680	2680	2680	2680	17527200	12	0	20000	6540	96.48
08/01/2014	2680	2680	2680	2680	32441400	15	3500	10000	12105	96.48
09/01/2014	2680	2680	2680	2680	4020000	1	3200	10000	1500	96.48
10/01/2014	2700	2700	2700	2700	2700000	1	2300	0	"1,00"	97.2
15/01/2014	2700	2700	2700	2700	13880700	6	200	14300	5141	97.2
16/01/2014	2700	2700	2700	2700	4860000	1	200	12500	1800	97.2
17/01/2014	2680	2680	2680	2680	268000	1	0	12500	100	98.48
20/01/2014	0	0	0	0	0	0	0	12500	0	98.48
21/01/2014	2700	2700	2700	2700	15390000	4	0	0	5700	97.2
22/01/2014	2700	2700	2700	2700	18630000	5	0	0	6900	97.2
23/01/2014	0	0	0	0	0	0	100	0	0	97.2
24/01/2014	0	0	0	0	0	0	400	0	0	97.2
27/01/2014	0	0	0	0	0	0	700	0	0	97.2
28/01/2014	2700	2700	2700	2700	2853900	10	1200	0	1057	97.2
29/01/2014	2700	2700	2700	2700	3780000	2	0	3600	1400	97.2
30/01/2014	0	0	0	0	0	0	0	7600	0	97.2
31/01/2014	2700	2700	2700	2700	810000	1	0	7500	300	97.2
03/02/2014	2700	2700	2700	2700	2160000	1	0	6700	800	97.2
04/02/2014	0	0	0	0	0	0	0	4200	0	97.2
05/02/2014	2700	2700	2700	2700	202500	2	0	7100	75	97.2
06/02/2014	2700	2700	2700	2700	1350000	2	0	9700	500	97.2
07/02/2014	2700	2700	2700	2700	1633500	8	0	45600	605	97.2
10/02/2014	2700	2700	2700	2700	807300	6	0	45400	299	97.2
11/02/2014	2700	2700	2700	2700	4050000	2	0	39300	1500	97.2
12/02/2014	2700	2700	2700	2700	20790000	8	0	34100	7700	97.2
13/02/2014	0	0	0	0	0	0	0	4700	0	97.2
