Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
06/01/2014	8000	8000	8000	8000	792000	6	2900	49100	99	2359.43
07/01/2014	8000	8000	8000	7980	123535000	21	2900	49200	15442	2359.43
08/01/2014	8000	8000	8000	8000	20120000	13	0	42700	2515	2359.43
09/01/2014	8000	8000	8000	8000	1022880000	40	3400	73700	127860	2359.43
10/01/2014	8000	8000	8000	8000	1000800000	18	3400	52100	125100	2359.43
15/01/2014	8000	8000	8000	8000	605744000	47	12500	0	75718	2359.43
16/01/2014	8000	8000	8000	8000	286400000	12	48800	0	35800	2359.43
17/01/2014	8100	8100	8100	8000	386494500	34	49300	13300	47716	2388.92
20/01/2014	8100	8000	8100	8000	15300000	6	60400	20400	1900	2359.43
21/01/2014	8100	8100	8100	8000	435974000	12	71500	24600	53843	2388.92
22/01/2014	8000	8000	8000	8000	19368000	3	39100	24500	2421	2359.43
23/01/2014	8100	8100	8100	8000	101952000	16	56500	100	12619	2388.92
24/01/2014	8100	8100	8100	8000	15134000	22	33500	0	1873	2388.92
27/01/2014	8100	8100	8100	8100	8910000	3	37000	12500	1100	2388.92
28/01/2014	8100	8100	8100	8100	51305400	10	33000	19700	6334	2388.92
29/01/2014	8100	8100	8100	8100	58514400	6	3000	12500	7224	2388.92
30/01/2014	8100	8100	8100	8100	3807000	6	3400	12500	470	2388.92
31/01/2014	8100	8100	8100	8100	3726000	3	0	3700	460	2388.92
03/02/2014	8000	8000	8000	8000	67200000	8	10500	5000	8400	2359.43
04/02/2014	8000	8000	8100	8000	46835000	4	5700	9200	5850	2359.43
05/02/2014	8000	8000	8000	8000	73616000	12	21000	6200	9202	2359.43
06/02/2014	8100	8100	8100	8000	33672000	9	31500	29700	4184	2388.92
07/02/2014	0	0	0	0	0	0	20800	30400	0	2388.92
10/02/2014	8000	8000	8100	8000	33265000	9	17300	37000	4150	2359.43
11/02/2014	8000	8000	8000	8000	9256000	5	8300	37800	1157	2359.43
12/02/2014	8100	8100	8100	8100	4860000	3	7500	23800	600	2388.92
13/02/2014	8100	8000	8100	8000	50005000	6	9100	28500	6250	2359.43
14/02/2014	8000	8000	8000	8000	13600000	2	10700	13300	1700	2359.43
17/02/2014	8000	8100	8100	8000	3382000	3	10600	19100	420	2388.92
18/02/2014	8000	8000	8100	8000	9205000	5	9500	6700	1150	2359.43
19/02/2014	8100	8100	8100	8000	33322000	5	3400	6700	4164	2388.92
20/02/2014	8100	8100	8100	8000	57820000	12	2100	5900	7200	2388.92
21/02/2014	8100	8100	8100	8100	810000	1	2100	2600	100	2388.92
24/02/2014	8100	8000	8100	8000	3220000	2	1900	5900	400	2359.43
25/02/2014	8000	8000	8000	8000	7584000	9	0	8000	948	2359.43
26/02/2014	8000	8000	8000	8000	29600000	10	0	3500	3700	2359.43
27/02/2014	8000	8000	8100	8000	19210000	6	15000	3300	2400	2359.43
28/02/2014	8100	8100	8100	8100	19205100	7	15000	6000	2371	2388.92
03/03/2014	8000	8000	8100	8000	1246576000	5	14300	6000	146700	2359.43
04/03/2014	8100	8100	8100	8100	61065900	21	14300	1800	7539	2388.92
05/03/2014	8100	8000	8100	8000	4030000	2	0	6300	500	2359.43
06/03/2014	8100	8000	8100	8000	405000	4	0	7000	50	2359.43
07/03/2014	8100	8000	8100	8000	631800	3	0	10000	78	2359.43
10/03/2014	8100	8000	8100	8000	380700	3	0	7700	47	2359.43
11/03/2014	0	0	0	0	0	0	0	14400	0	2359.43
12/03/2014	8000	8000	8000	8000	800000	1	0	14200	100	2359.43
13/03/2014	8000	8000	8000	8000	1069775000	7	0	8400	126150	2359.43
14/03/2014	8000	8000	8000	8000	3600000	3	0	0	450	2359.43
17/03/2014	8000	8000	8000	8000	7992200	8	0	5100	999	2359.43
18/03/2014	8000	8000	8100	8000	9293000	12	0	7000	1161	2359.43
19/03/2014	8000	8000	8100	8000	3208000	8	0	4700	401	2359.43
25/11/1921	8000	8000	8100	8000	1584000	5	0	4700	198	2359.43
21/03/2014	8000	8000	8000	8000	1128000	4	0	8400	141	2359.43
24/03/2014	8000	8000	8000	8000	16000000	2	0	9100	2000	2359.43
26/03/2014	8000	8000	8000	8000	16096000	8	0	10800	2012	2359.43
27/03/2014	8000	8000	8000	8000	8800000	6	0	9100	1100	2359.43
28/03/2014	8000	8000	8000	8000	80880000	12	0	9100	10110	2359.43
31/03/2014	0	0	0	0	0	0	0	11900	0	2359.43
01/04/2014	8000	8000	8000	8000	8560000	9	0	13700	1070	2359.43
02/04/2014	8000	8000	8000	8000	1040000	4	0	27000	130	2359.43
03/04/2014	8000	8000	8000	8000	279360000	21	100	0	34920	2359.43
04/04/2014	8000	8000	8000	8000	13648000	8	4600	300	1706	2359.43
08/04/2014	0	0	0	0	0	0	9600	300	0	2359.43
09/04/2014	8000	8000	8000	8000	80400000	9	0	41400	10500	2359.43
10/04/2014	8000	8000	8000	8000	7871294800	36	0	300	868469	2359.43
11/04/2014	8000	8000	8000	8000	5664000	6	0	300	708	2359.43
14/04/2014	8000	8000	8000	8000	77384000	8	12700	300	9673	2359.43
15/04/2014	8000	8000	8000	8000	34080000	5	12500	300	4260	2359.43
16/04/2014	0	0	0	0	0	0	17600	300	0	2359.43
17/04/2014	8000	8040	8100	8000	12020000	6	22700	100	1500	2371.22
22/04/2014	8000	8000	8000	8000	44768000	12	15500	0	5596	2359.43
23/04/2014	8000	8000	8000	8000	18400000	3	16800	100	2300	2359.43
24/04/2014	8000	8000	8000	8000	33632000	4	16800	100	4204	2359.43
25/04/2014	8000	8000	8000	8000	40000000	2	11100	100	5000	2359.43
28/04/2014	8000	8000	8000	8000	1280000	6	17400	100	160	2359.43
29/04/2014	8000	8000	8000	8000	800000	1	12400	0	100	2359.43
30/04/2014	8000	8000	8000	8000	11456000	8	8700	100	1432	2359.43
02/05/2014	8100	8100	8100	8000	58310000	4	49700	0	7200	2388.92
05/05/2014	8100	8100	8100	8100	4681800	3	45500	0	578	2388.92
06/05/2014	8100	8100	8100	8100	298258200	16	41500	0	36822	2388.92
07/05/2014	8100	8100	8100	8100	17269200	11	41500	0	2132	2388.92
08/05/2014	0	0	0	0	0	0	61600	2300	0	2388.92
